fips,county_name,state,gun_homicide_rate,population,gini,drug_offense_rate,poverty_rate,median_income,gun_ownership_pct,giffords_grade,giffords_numeric,region,mass_shooting_incidents,years,mass_shooting_rate
06019,Fresno County,CA,8.5,1008654,0.468,420.0,22.4,55517,28.3,A,11,West,10,2019-2023,0.19828404983274742
13089,DeKalb County,GA,10.4,764382,0.487,440.0,13.8,63850,49.2,F,0,South,12,2019-2023,0.31397913608640704
36005,Bronx County,NY,5.2,1379946,0.468,340.0,27.3,43726,19.9,A,11,Northeast,16,2019-2023,0.23189313205009474
12095,Orange County,FL,6.9,1429908,0.46,370.0,12.4,60340,35.3,D,2,South,12,2019-2023,0.16784296612089727
18097,Marion County,IN,18.7,977203,0.48,570.0,17.9,52168,44.8,F,0,Midwest,26,2019-2023,0.5321309901832065
39061,Hamilton County,OH,9.6,830639,0.494,480.0,14.7,58342,40.0,D-,1,Midwest,10,2019-2023,0.24077848499769453
51059,Fairfax County,VA,1.1,1150309,0.415,150.0,5.8,134115,44.6,B+,9,South,2,2019-2023,0.03477326527046211
48085,Collin County,TX,0.9,1064465,0.405,180.0,5.1,113200,45.7,F,0,South,2,2019-2023,0.03757756243746859
06081,San Mateo County,CA,1.3,737888,0.462,200.0,6.4,136837,28.3,A,11,West,2,2019-2023,0.05420876881044278
06013,Contra Costa County,CA,4.7,1153561,0.453,290.0,8.7,104112,28.3,A,11,West,8,2019-2023,0.13870094429336638
26125,Oakland County,MI,2.8,1274395,0.441,290.0,8.2,79512,40.2,C+,6,Midwest,6,2019-2023,0.09416232800662275
12103,Pinellas County,FL,4.4,959107,0.471,390.0,12.1,58190,35.3,D,2,South,8,2019-2023,0.16682184573775397
08041,El Paso County,CO,3.7,730395,0.42,330.0,9.5,75615,45.1,B,8,West,4,2019-2023,0.10952977498476851
08031,Denver County,CO,8.9,713252,0.493,450.0,12.2,78177,45.1,B,8,West,12,2019-2023,0.3364869639342056
08001,Adams County,CO,5.2,519572,0.394,380.0,11.8,72105,45.1,B,8,West,6,2019-2023,0.23095932806232822
48215,Hidalgo County,TX,3.1,870781,0.444,310.0,28.6,40125,45.7,F,0,South,4,2019-2023,0.0918715497926574
21111,Jefferson County,KY,13.1,782969,0.481,510.0,14.8,58715,47.9,F,0,South,16,2019-2023,0.40870072761501414
01073,Jefferson County,AL,18.2,658573,0.497,540.0,17.6,52345,52.8,F,0,South,20,2019-2023,0.6073738218845899
40109,Oklahoma County,OK,14.3,796292,0.481,560.0,16.3,55420,54.7,F,0,South,18,2019-2023,0.45209546246854165
40143,Tulsa County,OK,11.6,669279,0.474,520.0,15.1,55785,54.7,F,0,South,12,2019-2023,0.3585948460955745
45091,York County,SC,3.4,287152,0.396,320.0,9.7,68925,49.4,F,0,South,3,2019-2023,0.20894857079177578
47037,Davidson County,TN,12.4,715884,0.497,480.0,14.4,64052,51.6,F,0,South,16,2019-2023,0.44699979326259565
22071,Orleans Parish,LA,29.8,383997,0.541,650.0,23.8,45615,53.1,F,0,South,30,2019-2023,1.5625122071266182
22033,East Baton Rouge Parish,LA,17.1,456781,0.497,530.0,18.4,52980,53.1,F,0,South,14,2019-2023,0.6129852161101271
51760,Richmond City,VA,16.8,226610,0.528,540.0,22.5,51645,44.6,B+,9,South,12,2019-2023,1.0590883014871366
51810,Virginia Beach City,VA,3.0,459470,0.393,270.0,7.8,80215,44.6,B+,9,South,4,2019-2023,0.17411365268679133
34013,Essex County,NJ,8.1,850897,0.508,380.0,14.2,66250,14.7,A,11,Northeast,12,2019-2023,0.28205528988820033
34017,Hudson County,NJ,3.7,724854,0.493,280.0,14.8,74350,14.7,A,11,Northeast,4,2019-2023,0.1103670532272706
34023,Middlesex County,NJ,1.2,863162,0.431,190.0,7.6,96825,14.7,A,11,Northeast,2,2019-2023,0.04634124301116129
09003,Hartford County,CT,4.5,896521,0.496,360.0,12.8,71540,23.6,A,11,Northeast,6,2019-2023,0.1338507408080792
09001,Fairfield County,CT,2.6,943332,0.531,250.0,8.3,101050,23.6,A,11,Northeast,4,2019-2023,0.08480577357706513
25017,Middlesex County,MA,0.7,1632002,0.459,180.0,7.1,113215,22.6,A,11,Northeast,1,2019-2023,0.012254886942540512
25025,Suffolk County,MA,5.1,797936,0.533,410.0,17.3,76130,22.6,A,11,Northeast,8,2019-2023,0.20051733472358688
25013,Hampden County,MA,4.9,466552,0.475,390.0,17.8,53620,22.6,A,11,Northeast,6,2019-2023,0.2572060563452734
37183,Wake County,NC,3.8,1129410,0.447,290.0,8.8,85280,45.6,D,2,South,8,2019-2023,0.14166688802117922
37063,Durham County,NC,11.7,324833,0.488,450.0,14.2,65810,45.6,D,2,South,8,2019-2023,0.492560792776596
48355,Nueces County,TX,5.8,353178,0.453,380.0,17.5,52170,45.7,F,0,South,4,2019-2023,0.2265146753195273
53053,Pierce County,WA,5.5,921130,0.42,390.0,10.8,76215,42.1,A-,10,West,8,2019-2023,0.17369969493991078
41051,Multnomah County,OR,6.2,808459,0.491,410.0,13.5,72615,49.8,A-,10,West,10,2019-2023,0.24738422109222608
41005,Clackamas County,OR,1.4,421401,0.406,220.0,7.4,87450,49.8,A-,10,West,2,2019-2023,0.09492146435343059
28049,Hinds County,MS,30.5,227742,0.529,620.0,27.1,39820,55.8,F,0,South,16,2019-2023,1.4050987520966707
05119,Pulaski County,AR,15.4,399125,0.485,500.0,17.2,52410,57.2,F,0,South,10,2019-2023,0.5010961478233636
01097,Mobile County,AL,14.8,414809,0.475,480.0,19.5,47280,52.8,F,0,South,10,2019-2023,0.4821496158472936
12001,Alachua County,FL,6.0,283076,0.495,360.0,20.8,48610,35.3,D,2,South,4,2019-2023,0.2826096172052735
20173,Sedgwick County,KS,8.7,523824,0.444,430.0,13.5,57480,48.9,F,0,Midwest,8,2019-2023,0.30544610403494304
31055,Douglas County,NE,6.3,584526,0.431,370.0,10.8,68315,46.2,D,2,Midwest,6,2019-2023,0.2052945463503762
19153,Polk County,IA,3.2,492401,0.428,310.0,11.5,63750,43.6,D-,1,Midwest,4,2019-2023,0.16246920700810924
46099,Minnehaha County,SD,2.4,197803,0.412,350.0,10.2,64815,56.4,F,0,Midwest,2,2019-2023,0.2022214021020915
38017,Cass County,ND,1.5,185345,0.418,280.0,9.8,67850,55.1,F,0,Midwest,1,2019-2023,0.1079068763656964
30111,Yellowstone County,MT,3.1,164731,0.423,340.0,11.4,60520,66.3,F,0,West,2,2019-2023,0.2428201127899424
56021,Laramie County,WY,2.2,99500,0.404,320.0,9.6,63210,66.2,F,0,West,1,2019-2023,0.20100502512562815
16001,Ada County,ID,2.0,506529,0.421,290.0,10.1,68540,60.1,F,0,West,2,2019-2023,0.07896882508207823
49035,Salt Lake County,UT,3.0,1185238,0.42,340.0,9.5,76580,46.8,D-,1,West,4,2019-2023,0.06749699216528664
33011,Hillsborough County,NH,1.8,421937,0.423,270.0,7.2,82730,41.1,D-,1,Northeast,1,2019-2023,0.04740044129810849
50007,Chittenden County,VT,0.9,168323,0.435,250.0,10.3,75240,50.5,B-,7,Northeast,1,2019-2023,0.11881917503846771
10003,New Castle County,DE,7.4,570719,0.456,410.0,12.4,72815,34.2,B+,9,South,6,2019-2023,0.21026109171063168
44007,Providence County,RI,3.6,660741,0.478,350.0,14.7,57350,14.8,A-,10,Northeast,4,2019-2023,0.12107618567638455
15003,Honolulu County,HI,1.0,1000890,0.437,260.0,8.5,87470,14.9,A,11,West,1,2019-2023,0.019982215827913156
02020,Anchorage Municipality,AK,5.8,291247,0.407,430.0,9.2,79740,64.5,F,0,West,3,2019-2023,0.20601070568967234
11001,District of Columbia,DC,18.5,671803,0.551,550.0,15.3,90842,8.1,A,11,South,22,2019-2023,0.6549539076187514
